edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
2013,short,"Belgian Short Film Competition, 9th Belgian Fantastic Film Day",,WORKING GIRL HERO,N'Dembo Ziavoula,2012,BELGIUM,,Belgian Short Film Competition,,,,,,,,14',,,,,,,,,"Amelie is applying
for a job that doesn’t seem to suit her… unless you have
special powers."
2013,short,"Belgian Short Film Competition, 9th Belgian Fantastic Film Day",,REBIRD,Koen De Gussem,2012,BELGIUM,,Belgian Short Film Competition,,,,,,,,4',,,,,,,,,"A sick prisoner suffers in a cold cell.
Then, one day, a mysterious visitor gives him a present."
2013,short,"Belgian Short Film Competition, 9th Belgian Fantastic Film Day",,DELIVRE-MOI,Antoine Duquesne,2013,BELGIUM,,Belgian Short Film Competition,"Claire Blanquet, Laurent Bonnet, Fanny Dumont",,,,,,,13',Drama,,,https://www.imdb.com/title/tt2669808/?ref_=nm_knf_i1,,,,,"Sometimes your personal demons might push you towards
the edge of the cliff."
2013,short,"Belgian Short Film Competition, 9th Belgian Fantastic Film Day",,PERFECT DRUG,Toon Aerts,2012,BELGIUM,,Belgian Short Film Competition,"Misha Downey, Yumiko Funaya, Minami Takahashi",,,,,,,14',"Fantasy, Action, Horror",,,https://www.imdb.com/title/tt2557556/?ref_=nm_knf_i1,"Misha Downey, Yumiko Funaya, Minami Takahashi",,,,"Three clubbers pull off a raid on
a laboratory and get away with an experimental drug. They
were told not to sample the merchandise. And when they do,
they’re in for the mother of all trips !"
2013,short,"Belgian Short Film Competition, 9th Belgian Fantastic Film Day",,BONA VOX,Jean-Frédéric Eerdekens,2012,BELGIUM,,Belgian Short Film Competition,"Jérôme Colin, Diego Dalmans, Baptiste Sornin",,,,,,,14',"Mystery, Drama",,,https://www.imdb.com/title/tt2321213/?ref_=fn_al_nm_1a,,,,,"After the accident
that killed mummy and left me in a wheelchair, daddy can’t
stop crying. But my time machine will make everything
better !"
2013,short,"Belgian Short Film Competition, 9th Belgian Fantastic Film Day",,THIS IS LOVE,"Florence Bolsée, Pia Callewaert",2012,BELGIUM,,Belgian Short Film Competition,,,,,,,,4',,,,,,,,,"While zombies roam the streets, one geek is gaming
like mad. But there’s a special someone that will make him
leave his room."
2013,short,"Belgian Short Film Competition, 9th Belgian Fantastic Film Day",,POUR VOUS SERVIR,Christophe Clin,2012,BELGIUM,,Belgian Short Film Competition,"Antojo, Geoffrey Boissy, Quantin Meert",,,,,,,14',"Comedy, Fantasy",,,https://www.imdb.com/title/tt2848822/?ref_=nm_knf_i2,,,,,"This poor guy will experience the worst day
of his life."
2013,short,"Belgian Short Film Competition, 9th Belgian Fantastic Film Day",,TEMPO,"Benoit Fontenelle, Tony Marioni",2012,BELGIUM,,Belgian Short Film Competition,"Roland Cornil, Pierre Lekeux",,,,,,,8',"Animation, Fantasy, Mystery",,,https://www.imdb.com/title/tt2556048/?ref_=nm_knf_i1,,,,,"Tempo lives high in the clouds, in a
magical place, where he practices his unique profession : he
invents stories !"
2013,short,"Belgian Short Film Competition, 9th Belgian Fantastic Film Day",,CHAMBRE DOUBLE,Mathieu Mortelmans,2013,BELGIUM,,Belgian Short Film Competition,"Arnaud Bronsart, Jean-Henri Compère, Cécile Delberghe",,,,,,,15',"Mystery, Thriller",,,https://www.imdb.com/title/tt2792720/?ref_=nm_flmg_dr_11,,,,,"A world première! Doctor Gilles is
questioned by the police about what happened in a hotel a
few hours ago, when the receptionist asked him to treat an
abused woman."
2013,short,"Belgian Short Film Competition, 9th Belgian Fantastic Film Day",,VERTIGE,"Christophe Gautry, Mathieu Brisebas",2012,BELGIUM,,Belgian Short Film Competition,"Mathieu Brisebras, Christophe Gautry",,,,,,,8',,,,https://www.imdb.com/title/tt2411736/?ref_=nm_flmg_dr_1,,,,,"What if… gravity
started playing with itself : an entire new look on a city and
its inhabitants."
2013,short,"Belgian Short Film Competition, 9th Belgian Fantastic Film Day",,PILATE 53,Luc Bourgois,2013,BELGIUM,,Belgian Short Film Competition,,,,,,,,13',,,,,,,,,"A world première!
Notary Wilquet is brutally murdered. Commissioner Veys and
his assistant are faced with the most unusual case in their
career."
2013,short,"Belgian Short Film Competition, 9th Belgian Fantastic Film Day",,HIGHWAY FEVER,Bart Nouws,2012,BELGIUM,,Belgian Short Film Competition,,,,,,,,5',,,,,,,,,"The American
Dream isn’t for everybody, especially not on a desert
highway."
2013,short,"Belgian Short Film Out of Competition, 9th Belgian Fantastic Film Day",,BLOODY EYES,Joachim Olender,2011,BELGIUM,,,"Soufian el Boubsi, Marcel Gonzalez, Coralie Revel
",,,,,,,22',"Crime, Fantasy, Mystery",,,https://www.imdb.com/title/tt2009438/?ref_=nm_knf_i2,,,,,"A contemporary version of the myth of
the Medusa. A woman kills with her eyes. Desperately she
searches the city for a man who can withstand her gaze."
2013,short,"Belgian Short Film Out of Competition, 9th Belgian Fantastic Film Day",,UN MONDE MEILLEUR,Sacha Feiner,2012,BELGIUM,,,"Jean-Marie Barbier, Olivier Bonjour, Harry Cleven
",,,,,,,24',"Science-Fiction, Comedy, Drama",,,https://www.imdb.com/title/tt2386322/?ref_=nm_knf_t2,,,,,"Henry is an obedient civil servant of a near-future
dictatorship. Yet he’ll be instrumental in its transformation
into an idyllic society."
2013,short,"Belgian Short Film Out of Competition, 9th Belgian Fantastic Film Day",,LE PETIT BONHOMME VERT,Roland Lethem,2013,BELGIUM,,,"Vanja Maria Godee, Frederik Haugness, Jean-Louis Sbille",,,,,,,11',Fantasy,,,https://www.imdb.com/title/tt3829200/?ref_=nm_flmg_dr_1,,,,,"A world première! Valérie plays
with the cactuses in a greenhouse. Suddenly she hears the
voice of the little green man."
2013,short,"Belgian Short Film Out of Competition, 9th Belgian Fantastic Film Day",,FABLE DOMESTIQUE,"Ann Sirot, Raphaël Balboni",2011,BELGIUM,,,"Muriel Bersy, Sandrine Blancke, Laurent Capelluto
",,,,,,,22',"Family, Fantasy",,,https://www.imdb.com/title/tt2315502/?ref_=fn_al_tt_1,,,,,"Adrien visits an
apartment with his girlfriend and becomes jealous when he
sees her having fun with another man. That night he gets an
unexpected invitation for a new visit."
2013,short,"Belgian Short Film Out of Competition, 9th Belgian Fantastic Film Day",,DOOD VAN EEN SCHADUW,Tom Van Avermaet,2012,BELGIUM,,,"Matthias Schoenaerts, Laura Verlinden, Peter Van den Eede",,,,,,,20',"Fantasy, Drama",,,https://www.imdb.com/title/tt2312702/?ref_=fn_al_tt_1,,,,,"Trapped between life
and death, a soldier, played by Matthias Schoenaerts, has to
collect the shadows of men and women at the moment of
their death in order to obtain a second chance to live."
2013,short,"Belgian Short Film Out of Competition, 9th Belgian Fantastic Film Day",,LES OUBLIEES,Thierry de Coster,2013,BELGIUM,,,,,,,,,,4',,,,,,,,,"A world première !
A female prison in an elevator. 12 women stuck together in
suffocating proximity. And the jailor that awaits them with
every ascension."
2013,short,"Belgian Short Film Out of Competition, 9th Belgian Fantastic Film Day",,WORST CASE SCENARIO,Donovan Alonso-Garcia,2013,BELGIUM,,,,,,,,,,24',,,,,,,,,"A world première ! Carole wakes up in
a dilapidated church. The first thing she sees is a smirking
film crew and a camera pointed to a dirty matrass."
2013,short,"Belgian Short Film Out of Competition, 9th Belgian Fantastic Film Day",,UN HOMME BIEN,Steve De Roover,2013,BELGIUM,,,,,,,,,,9',,,,,,,,,"Louis Caron is a good man. He feeds the homeless, takes
care of animals and is concerned about the future of the
planet. He remains an altruist, even when everybody ignores
him. But he has a dark side!"
2013,movie ,EVERYTHING YOU ALWAYS WANTED TO KNOW ABOUT JEAN-JACQUES ROUSSEAU BUT WERE AFRAID TO ASK,,LE 1ER JUILLET CHEZ OLGA,Jean-Jacques Rousseau,2011,BELGIUM,,,,,,,,,,35',,,,,,,,,"The owner of a bar
full of lazy bums, refuses to apply the anti-tobacco laws.
A furious customer denounces her with the authorities."
