edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
2008,short,International short film competition,,JUST CALL ME TOBI B.,Felix Stienz,2007,Germany,,International short film competition,"Jorg Gahr, G.A.W., Matthias Hinz, Stephanie
Capetanides, Clemens “Bembi” Wissert",,,,,,,15',,,,,NENN MICH EINFACH TOBI B.,,,,"Knarcksen falls from the sky and doesn’t know why. Count
on Tobi B to tell us more."
2008,short,International short film competition,,FACE,Hendrik Dusollier,2007,France,,International short film competition,,,,,,,,6',Animation,,OK,"https:,,www.imdb.com,title,tt1532307,?ref_=nm_flmg_dr_4",,,,,"A man’s face is subjected to a series of experiences and
degrades to reveal the beast within."
2008,short,International short film competition,,FILM FOR THE BOXED,Bryn Chainey,2007,Australia,,International short film competition,"Ryan Sheldrake, Helen Shield, Edward Ford,
Daniel Maxfield",,,,,,,13',,,OK,"https:,,www.imdb.com,title,tt1142315,?ref_=nm_flmg_dr_5",,,,,It’s hard to grow up when your head’s a TV !
2008,short,International short film competition,,FOLD,Jason Yim,2007,USA,,International short film competition,"Winter Ave Zoll, Mei Melancon, Joshua Snyder,
Sebastian Tillinger, Clint Howard",,,,,,,16',Horror,,OK,"https:,,www.imdb.com,title,tt1174692,?ref_=nm_knf_t1",,,,,"The tranquil life of this young couple will soon be disturbed
by an old classmate."
2008,short,International short film competition,,STROOM,Filip Sterckx,2007,Belgium,,International short film competition,,,,,,,,,,,,,,,,,
2008,short,International short film competition,,S.I.T.E.,Pablo Orlowski,2007,Belize,,International short film competition,,,,,,,,5',"Documentary, Animation",,OK,"https:,,www.imdb.com,title,tt1651945,?ref_=fn_al_nm_1a",,,,,"Earth invades another planet. The conflict is captured by a
webcam."
2008,short,International short film competition,,"OF CATS , WOMEN",Jonas Govaerts,2007,Belgium,,International short film competition,,,,,,,,12',Thriller,,OK,"https:,,www.imdb.com,title,tt1113741,?ref_=nm_knf_i2",,,,,
2008,short,International short film competition,,VADATA,Manuel Lebelt,2007,Germany,,International short film competition,"André Ebert, Florian Lux",,,,,,,10',Mystery,,OK,"https:,,www.imdb.com,title,tt1223937,?ref_=nm_knf_t1",,,,,"A man receives pieces of a puzzle in his mailbox. They
open a door to another dimension."
2008,short,International short film competition,,THE GIRLS ,Sebastian Godwin,2007,UK,,International short film competition,"Duncan Duff, Natascha Forbes-Pyfrom,
Zoe Forbes-Pyfrom",,,,,,,10',Drama,,OK,"https:,,www.imdb.com,title,tt1092062,?ref_=nm_knf_t1",,,,,"Dad returns from work and goes to play with his daughters
in the garden. He doesn’t know he’s going to be played
with."
2008,short,International short film competition,,SANDIK,Can Evrenol,2007,Turkey,,International short film competition,"Erencan Eren, Suna Sumer, Erinc Tasdemir, Sevine
Kaya",,,,,,,6',Horror,,OK,"https:,,www.imdb.com,title,tt1305749,?ref_=nm_flmg_dr_13",,,,,The fate of one family is sealed inside a chest.
2008,short,International short film competition,,FERTILIZE,Senne Dehandschutter,2007,Belgium,,International short film competition,"Carmen Lauwers, Helio Santos",,,,,,,8',"Action, Adventure",,OK,"https:,,www.imdb.com,title,tt1286536,?ref_=nm_knf_i3",,,,,"A beautiful young girl in a futurist environment is
surrounded by thousands of warriors. She becomes the
centre of a dazzling choreography of dance and combat."
2008,short,International short film competition,,UNIVERS PARALITS,Tommaso Volpi,2007,France,,International short film competition,"Carlos Leal, Jo Kelly, Sophie Michard, Tatiana
Rojo, Valérie Fernand, Delphine Serina",,,,,,,5',"Comedy, Fantasy",,OK,"https:,,www.imdb.com,title,tt1410263,?ref_=nm_knf_i2",,,,,"Eugène is lying in bed waiting for his wife to come out of
the bathroom. But it’s his ex-girlfriend who slides between
the sheets. And she’s just the first of many."
2008,short,International short film competition,,SNIP,Julien Zenier,2007,Spain,,International short film competition,Zoe Berriatua,,,,,,,11',,,OK,"https:,,www.imdb.com,title,tt1258159,?ref_=nm_knf_i1",,,,,"A man is frantically zapping in front of his TV and sets
something free."
2008,short,International short film competition,,CENTIGRADE,Colin Cunningham,2007,Canada,,International short film competition,Colin Cunningham,,,,,,,17',Thriller,,OK,"https:,,www.imdb.com,title,tt1099942,?ref_=nm_flmg_dr_3",,,,,"He’s white trailer trash and he’s being taken, trailer and all,
on a ride to hell."
2008,short,International short film competition,,BERNI'S DOLL,Yann Jouette,2007,France,,International short film competition,,,,,,,,11',Animation,,OK,"https:,,www.imdb.com,title,tt1278306,?ref_=fn_al_tt_1",,,, ,Lonesome Berni buys a woman by mail-order… piece by piece.
