edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
1998,short,,,LOS MILAGROS INUTILES DE DEMERYAT,Aldo Salvini,1997,Peru,,,"Aristoteles PICHO, Orlando SACHA, Alejandra CASANOVA, Kathy O’BRIEN, Jimena LINDO, Mario VELAZQUEZ
Screenplay: Aldo SAVINI",,,,,,,28',,,,"https:,,www.imdb.com,title,tt0462940,?ref_=nm_flmg_dr_23",,,,,"Ebaristo wanders bewildered through the devastated city. He finds a magic lamp, which harbors a Genie called Demeryat. Having been captured in the lamp for more than 3000 years, he suffers from amnesia and often confuses the formulas that enable him to fulfil wishes…
The director, born in 1962, teaches the writing of theatre plays at the university of Lima, of which he is a graduate in film direction and production.Ebaristo wanders bewildered through the devastated city. He finds a magic lamp, which harbors a Genie called Demeryat. Having been captured in the lamp for more than 3000 years, he suffers from amnesia and often confuses the formulas that enable him to fulfil wishes…
The director, born in 1962, teaches the writing of theatre plays at the university of Lima, of which he is a graduate in film direction and production."
1998,short,,,BALLON GIRL,Justine Kerrigan,1997,Australia,,,"Justine CLARKE, Paul McDERMOTT, Nick TANTARO",,,,,,,7',,,,,,,,,"Balloon Girl thinks that it is her destiny to spend her life alone, until the day she meets Pin Man, maybe her only chance for love…
After her film studies, Justine Kerrigan worked for 8 years as a photographer for various publications. She has travelled a lot and has presented her works at some private exhibitions."
1998,short,,,ARTONICS,John Brigden,1997,Australia,,,,,,,,,,5',,,,,,,,,"The movie is an original view on the future world of art galleries, museums and zoo’s. Here we explore another world of images and sounds. The director is an artist who experiments to shape his visions. He explores potential esthetics and techonologies that allow the constant technological evolution of our society."
1998,short,,,DECAFF 2,Gregory Page,1997,New-Zealand,,,,,,,,,,5',,,,,,,,,"You have waited for them with impatience, even if you didn’t knew them. In consequence we have fought hard and had to overcome many obstacles to obtain them. So here they are at last : 5 new adventures of our anti-hero in clay, a small boy with a bad temper, who watches too much television and gets excited too quick."
1998,short,,,THE SOUL OF BUSINESS,José Roberto Torero,1996,Brasil,,,,,,,,,,8',Comedy,,,"https:,,www.imdb.com,title,tt0115518,?ref_=nm_flmg_wr_21",A ALMA DO NEGOCIO,,,,"Absolutely not to be missed, prepare yourselves for the worst !!!
A man and a woman talk to each other as if they’re in the middle of the shooting of a commercial. The film poses a crucial question : “Is publicity the soul of trade or is trade the soul of publicity ?”"
1998,short,,,ROCK ET MAN,Adrian Van de Velde,1997,Australia,,,,,,,,,,10',,,,,,,,,"Is Darwin Edward Cole just an ordinary serial killer like all the others ? Has he really saved our planet by changing the trajectory of the comet Tesla, which was on a collision course with Earth ? And those are not the only questions."
1998,short,,,"FRANZ , KAFKA",Matthew Saville,1997,Australia,,,,,,,,,,6',Comedy,,,"https:,,www.imdb.com,title,tt0357672,?ref_=nm_flmg_dr_26",,,,,"Ernst FRANZ and his alter-ego Jozef KAFKA, throw themselves into writing their first novel. From the first phrase, they are confronted with the mortal fears of creation. They find themselves face to face with the surrealist nightmare that slumbers in both of them : a monstrous bug called Gregor SAMSA."
1998,short,,,MARYLOU,"Todd Kurtzman, Danny Shorago",1996,USA,,,,,,,,,,3', Animation,,,"https:,,www.imdb.com,title,tt0119627,?ref_=nm_flmg_dr_1",,,,,"We will discover the amazing deeds of a muscular comic-strip hero who travels through a universe that ranges from film noir to the Land of Oz. This movie is recommended to adult viewers and thus strictly forbidden for all others. It was already presented at the New-York Underground Film Festival, the Sundance Film Festival and at the Semaine de la Critique in Cannes."
1998,short,,,LA ULTIMA CENA,Daniel S. de la Vega,1997,Argentina,,,,,,,,,,7',,,,"https:,,www.imdb.com,title,tt0344608,?ref_=nm_flmg_dr_10",,,,,"With “fantasy” music in the background, we see a woman involved in a struggle with the earth and with worms"
1998,short,,,D.S.B.,Scott Cooksley,1997,New-Zealand,,,,,,,,,,13',,,,,,,,,"While awaiting their guests, they pass the time drinking and listening backwards to Heavy Metal albums. The consequense is that Satan appears… To be continued on the big screen.
This preternatural comedy is the fourth short of a director who has plans for several long features.
Some good advice : do not invoke the name of the Prince of Darkness in vain. If you really need him, contact him on the internet: http:\\www.satan.com, his e-mail is goddamn@devil.hell"
