edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
1993,short,European short film competition,,ALBERTINA A MAIGRI,Hannelore Cayre,1992,France,,European short film competition,Ariane Damain,,,,,,,,,,,,,,,,
1993,short,European short film competition,,LA BALLERINE ET LE RAMONEUR,Jean-Michel Costa,1992,France,,European short film competition,,,,,,,,,Fantasy,,,,,,,,
1993,short,European short film competition,,LES BETES,Régine Abadia,1992,France,,European short film competition,,,,,,,,,Fantasy,,,,,,,,
1993,short,European short film competition,,BUGELFREI,Manfred Beger,1991,Germany,,European short film competition,,,,,,,,,,,,,,,,,
1993,short,European short film competition,,CARUNCULA,Mariano Baino,1991,UK,,European short film competition,"Rosalynd Furlong, Jonathan Jaynes, Peter Waddington",,,,,,,21',Horror,,,"https:,,www.imdb.com,title,tt1966380,?ref_=nm_flmg_wr_10",,,,,
1993,short,European short film competition,,COLONIE PENITENTIAIRE,Manuel Gomez,1991,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1993,short,European short film competition,,DAMIT DU GROSS UND STARK WIRST,Barbara Marheineke,1992,Germany,,European short film competition,,,,,,,,,,,,,,,,,
1993,short,European short film competition,,DANCING,Bruno Bozzetto,1991,Italy,,European short film competition,,,,,,,,3',"Animation, Comedy",,,"https:,,www.imdb.com,title,tt0895770,?ref_=nm_flmg_dr_30",,,,,
1993,short,European short film competition,,DE L'AUTRE COTE DU PARC,Philippe Sisbane,1991,France,,European short film competition,"Franck Dubosc, Marion Hilsen, Jean-Paul Muel",,,,,,,10',,,,"https:,,www.imdb.com,title,tt0317322,?ref_=nm_flmg_dr_5",,,,,
1993,short,European short film competition,,DEIN BLAUES AUGE,Angela Holtschmidt,1992,Germany,,European short film competition,,,,,,,,3',Animation,,,"https:,,www.imdb.com,title,tt0350787,?ref_=nm_knf_t1",,,,,
1993,short,European short film competition,,"HOMARD, CHAMPAGNE, RAVIOLI",Jean-Philippe Luxen,1992,Belgium,,European short film competition,"Danielle Bailly, Gilbert Charles, Gina Cotica",,,,,,,,,,,"https:,,www.imdb.com,title,tt0285608,?ref_=nm_knf_t1",,,,,
1993,short,European short film competition,,L'HOMME AU SABLE,Massimo Donati,1992,Switzerland,,European short film competition,,,,,,,,,,,,,,,,,
1993,short,European short film competition,,L'HOR VERT,Jacques Fusilier,1993,France,,European short film competition,,,,,,,,13',,,,"https:,,www.imdb.com,title,tt0107139,?ref_=nm_knf_t4",,,,,
1993,short,European short film competition,,EL JUICIO FINAL,Gustavo A. Fuertes,1992,Spain,,European short film competition,"Andrea Guardiola, Irene Guerrero de Luna, Manuel Pereiro",,,,,,,23',Fantasy,,,"https:,,www.imdb.com,title,tt0238337,?ref_=nm_knf_t1",,,,,
1993,short,European short film competition,,M.A.N.: Matrix Adjusted Normal,Conor O'Mahoney,1992,Ireland,,European short film competition,"Brendan Gleeson, Lana Citron, Michael O'Reilly
",,,,,,,,Science-Fiction,,,"https:,,www.imdb.com,title,tt0333846,?ref_=nm_knf_t1",,,,,
1993,short,European short film competition,,MICROTIME,Janne Kuusi,1991,Finland,,European short film competition,"Martti Suosalo, Outi Mäenpää",,,,,,,6',Fantasy,,,"https:,,www.imdb.com,title,tt0366775,?ref_=nm_knf_t1",MIKROAIKA,,,,
1993,short,European short film competition,,AUX MENSONGES,Giannis Fragoulakis,1991,Greece,,European short film competition,"Panagiotis Toumbanis, Alexandros Koliopoulos, Varvara Lazaridou
",,,,,,,30',Science-Fiction,,,"https:,,www.imdb.com,title,tt1538390,?ref_=nm_flmg_dr_3",STA PSEMATA,,,,
1993,short,European short film competition,,PROMETHEUS,Marcell Jankovics,1992,Hungary,,European short film competition,,,,,,,,2',Animation,,,"https:,,www.imdb.com,title,tt4108940,?ref_=nm_flmg_dr_4",,,,,
1993,short,European short film competition,,RECOMPENSE DE GRING-GALLET,Vincent Lavachery,1991,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1993,short,European short film competition,,SAUDADE,Wendela Scheltema,1991,Netherlands,,European short film competition,,,,,,,,,,,,,,,,,
